STATION 1,S1_ID,STATION 2,S2_ID,LINE,MILES,KILOMETERS,DEPRECATION
HARROW & WEALDSTONE,100,KENTON,125,Bakerloo,1.08,1.74,Active
KENTON,125,SOUTH KENTON,209,Bakerloo,0.87,1.4,Active
SOUTH KENTON,209,NORTH WEMBLEY,160,Bakerloo,0.56,0.9,Active
NORTH WEMBLEY,160,WEMBLEY CENTRAL,249,Bakerloo,0.79,1.27,Active
WEMBLEY CENTRAL,249,STONEBRIDGE PARK,220,Bakerloo,1.06,1.71,Active
STONEBRIDGE PARK,220,HARLESDEN,99,Bakerloo,0.95,1.53,Active
HARLESDEN,99,WILLESDEN JUNCTION,264,Bakerloo,0.65,1.05,Active
WILLESDEN JUNCTION,264,KENSAL GREEN,122,Bakerloo,0.93,1.5,Active
KENSAL GREEN,122,QUEENS PARK,183,Bakerloo,0.82,1.32,Active
QUEENS PARK,183,KILBURN PARK,128,Bakerloo,0.49,0.79,Active
KILBURN PARK,128,MAIDA VALE,142,Bakerloo,0.55,0.88,Active
MAIDA VALE,142,WARWICK AVENUE,246,Bakerloo,0.49,0.79,Active
WARWICK AVENUE,246,PADDINGTON BCD,172,Bakerloo,0.55,0.88,Active
PADDINGTON BCD,172,EDGWARE ROAD B,70,Bakerloo,0.45,0.72,Active
EDGWARE ROAD B,70,MARYLEBONE,146,Bakerloo,0.28,0.45,Active
MARYLEBONE,146,BAKER STREET,10,Bakerloo,0.31,0.5,Active
BAKER STREET,10,REGENTS PARK,189,Bakerloo,0.55,0.88,Active
REGENTS PARK,189,OXFORD CIRCUS,171,Bakerloo,0.54,0.87,Active
OXFORD CIRCUS,171,PICCADILLY CIRCUS,177,Bakerloo,0.6,0.97,Active
PICCADILLY CIRCUS,177,CHARING CROSS,44,Bakerloo,0.34,0.55,Active
CHARING CROSS,44,EMBANKMENT,74,Bakerloo,0.23,0.37,Active
EMBANKMENT,74,WATERLOO,247,Bakerloo,0.44,0.71,Active
WATERLOO,247,LAMBETH NORTH,133,Bakerloo,0.39,0.63,Active
LAMBETH NORTH,133,ELEPHANT & CASTLE,72,Bakerloo,0.51,0.82,Active
WEST RUISLIP,258,RUISLIP GARDENS,195,Central,1.27,2.04,Active
RUISLIP GARDENS,195,SOUTH RUISLIP,210,Central,0.53,0.86,Active
SOUTH RUISLIP,210,NORTHOLT,162,Central,1.42,2.28,Active
NORTHOLT,162,GREENFORD,91,Central,1.11,1.78,Active
GREENFORD,91,PERIVALE,176,Central,1.05,1.69,Active
PERIVALE,176,HANGER LANE,98,Central,1.31,2.1,Active
HANGER LANE,98,NORTH ACTON,156,Central,1.55,2.49,Active
EALING BROADWAY,61,WEST ACTON,251,Central,0.95,1.53,Active
WEST ACTON,251,NORTH ACTON,156,Central,1.1,1.77,Active
NORTH ACTON,156,EAST ACTON,64,Central,0.69,1.11,Active
EAST ACTON,64,WHITE CITY,261,Central,1.28,2.06,Active
WHITE CITY,261,SHEPHERDS BUSH,202,Central,0.72,1.16,Active
SHEPHERDS BUSH,202,HOLLAND PARK,113,Central,0.54,0.87,Active
HOLLAND PARK,113,NOTTING HILL GATE,166,Central,0.38,0.61,Active
NOTTING HILL GATE,166,QUEENSWAY,185,Central,0.43,0.69,Active
QUEENSWAY,185,LANCASTER GATE,134,Central,0.56,0.9,Active
LANCASTER GATE,134,MARBLE ARCH,145,Central,0.75,1.2,Active
MARBLE ARCH,145,BOND STREET,24,Central,0.34,0.55,Active
BOND STREET,24,OXFORD CIRCUS,171,Central,0.41,0.66,Active
OXFORD CIRCUS,171,TOTTENHAM COURT ROAD,229,Central,0.36,0.58,Active
TOTTENHAM COURT ROAD,229,HOLBORN,112,Central,0.55,0.88,Active
HOLBORN,112,CHANCERY LANE,43,Central,0.25,0.4,Active
CHANCERY LANE,43,ST PAULS,200,Central,0.64,1.03,Active
ST PAULS,200,BANK,12,Central,0.46,0.74,Active
BANK,12,LIVERPOOL STREET,139,Central,0.46,0.74,Active
LIVERPOOL STREET,139,BETHNAL GREEN,21,Central,1.41,2.27,Active
BETHNAL GREEN,21,MILE END,147,Central,1.02,1.64,Active
MILE END,147,STRATFORD,221,Central,1.76,2.83,Active
STRATFORD,221,LEYTON,137,Central,1.3,2.09,Active
LEYTON,137,LEYTONSTONE,138,Central,1.01,1.62,Active
LEYTONSTONE,138,WANSTEAD,244,Central,1.07,1.72,Active
WANSTEAD,244,REDBRIDGE,188,Central,0.76,1.22,Active
REDBRIDGE,188,GANTS HILL,84,Central,0.79,1.27,Active
GANTS HILL,84,NEWBURY PARK,155,Central,1.47,2.36,Active
NEWBURY PARK,155,BARKINGSIDE,15,Central,0.69,1.11,Active
BARKINGSIDE,15,FAIRLOP,78,Central,0.76,1.22,Active
FAIRLOP,78,HAINAULT,94,Central,0.47,0.75,Active
LEYTONSTONE,138,SNARESBROOK,205,Central,0.98,1.57,Active
SNARESBROOK,205,SOUTH WOODFORD,212,Central,0.8,1.29,Active
SOUTH WOODFORD,212,WOODFORD,269,Central,1.12,1.8,Active
RODING VALLEY,192,WOODFORD,269,Central,0.83,1.33,Active
CHIGWELL,46,RODING VALLEY,192,Central,1.42,2.28,Active
GRANGE HILL,89,CHIGWELL,46,Central,0.82,1.32,Active
HAINAULT,94,GRANGE HILL,89,Central,0.7,1.12,Active
WOODFORD,269,BUCKHURST HILL,32,Central,1.44,2.31,Active
BUCKHURST HILL,32,LOUGHTON,141,Central,1.14,1.83,Active
LOUGHTON,141,DEBDEN,59,Central,1.26,2.02,Active
DEBDEN,59,THEYDON BOIS,226,Central,2.08,3.34,Active
THEYDON BOIS,226,EPPING,75,Central,1.58,2.54,Active
WALTHAMSTOW CENTRAL,243,BLACKHORSE ROAD,23,Victoria,0.9,1.45,Active
BLACKHORSE ROAD,23,TOTTENHAM HALE,230,Victoria,0.85,1.37,Active
TOTTENHAM HALE,230,SEVEN SISTERS,201,Victoria,0.65,1.05,Active
SEVEN SISTERS,201,FINSBURY PARK,82,Victoria,1.96,3.15,Active
FINSBURY PARK,82,HIGHBURY & ISLINGTON,108,Victoria,1.2,1.93,Active
HIGHBURY & ISLINGTON,108,KINGS CROSS ST PANCRAS,130,Victoria,1.52,2.45,Active
KINGS CROSS ST PANCRAS,130,EUSTON,76,Victoria,0.46,0.74,Active
EUSTON,76,WARREN STREET,245,Victoria,0.47,0.76,Active
WARREN STREET,245,OXFORD CIRCUS,171,Victoria,0.56,0.9,Active
OXFORD CIRCUS,171,GREEN PARK,92,Victoria,0.71,1.14,Active
GREEN PARK,92,VICTORIA,242,Victoria,0.68,1.09,Active
VICTORIA,242,PIMLICO,178,Victoria,0.74,1.19,Active
PIMLICO,178,VAUXHALL,241,Victoria,0.5,0.8,Active
VAUXHALL,241,STOCKWELL,219,Victoria,1.1,1.77,Active
STOCKWELL,219,BRIXTON,30,Victoria,0.91,1.46,Active
WATERLOO,247,BANK,12,Waterloo & City,1.47,2.37,Active
STANMORE,217,CANONS PARK,40,Jubilee,0.79,1.27,Active
CANONS PARK,40,QUEENSBURY,184,Jubilee,1.06,1.71,Active
QUEENSBURY,184,KINGSBURY,129,Jubilee,0.83,1.33,Active
KINGSBURY,129,WEMBLEY PARK,250,Jubilee,1.77,2.85,Active
WEMBLEY PARK,250,NEASDEN,154,Jubilee,1.42,2.28,Active
NEASDEN,154,DOLLIS HILL,60,Jubilee,0.53,0.85,Active
DOLLIS HILL,60,WILLESDEN GREEN,263,Jubilee,0.75,1.21,Active
WILLESDEN GREEN,263,KILBURN,127,Jubilee,0.74,1.19,Active
KILBURN,127,WEST HAMPSTEAD,255,Jubilee,0.68,1.09,Active
WEST HAMPSTEAD,255,FINCHLEY ROAD,81,Jubilee,0.38,0.61,Active
FINCHLEY ROAD,81,SWISS COTTAGE,224,Jubilee,0.38,0.61,Active
SWISS COTTAGE,224,ST JOHNS WOOD,199,Jubilee,0.57,0.92,Active
ST JOHNS WOOD,199,BAKER STREET,10,Jubilee,1.28,2.06,Active
BAKER STREET,10,BOND STREET,24,Jubilee,1.03,1.66,Active
BOND STREET,24,GREEN PARK,92,Jubilee,0.85,1.37,Active
GREEN PARK,92,WESTMINSTER,260,Jubilee,0.83,1.34,Active
WESTMINSTER,260,WATERLOO,247,Jubilee,0.6,0.96,Active
WATERLOO,247,SOUTHWARK,215,Jubilee,0.27,0.44,Active
SOUTHWARK,215,LONDON BRIDGE,140,Jubilee,0.78,1.26,Active
LONDON BRIDGE,140,BERMONDSEY,20,Jubilee,1.2,1.93,Active
BERMONDSEY,20,CANADA WATER,36,Jubilee,0.66,1.06,Active
CANADA WATER,36,CANARY WHARF,37,Jubilee,1.5,2.41,Active
CANARY WHARF,37,NORTH GREENWICH,158,Jubilee,1.06,1.71,Active
NORTH GREENWICH,158,CANNING TOWN,38,Jubilee,1.06,1.71,Active
CANNING TOWN,38,WEST HAM,254,Jubilee,0.98,1.58,Active
WEST HAM,254,STRATFORD,221,Jubilee,0.96,1.54,Active
EDGWARE,69,BURNT OAK,33,Northern,0.91,1.47,Active
BURNT OAK,33,COLINDALE,53,Northern,0.81,1.31,Active
COLINDALE,53,HENDON CENTRAL,106,Northern,1.31,2.1,Active
HENDON CENTRAL,106,BRENT CROSS,29,Northern,0.68,1.1,Active
BRENT CROSS,29,GOLDERS GREEN,86,Northern,0.96,1.55,Active
GOLDERS GREEN,86,HAMPSTEAD,97,Northern,1.45,2.34,Active
HAMPSTEAD,97,BELSIZE PARK,19,Northern,0.75,1.2,Active
BELSIZE PARK,19,CHALK FARM,42,Northern,0.68,1.1,Active
CHALK FARM,42,CAMDEN TOWN,35,Northern,0.53,0.85,Active
HIGH BARNET,107,TOTTERIDGE & WHETSTONE,231,Northern,1.53,2.46,Active
TOTTERIDGE & WHETSTONE,231,WOODSIDE PARK,270,Northern,0.93,1.5,Active
WOODSIDE PARK,270,WEST FINCHLEY,253,Northern,0.61,0.98,Active
WEST FINCHLEY,253,FINCHLEY CENTRAL,80,Northern,0.71,1.14,Active
MILL HILL EAST,148,FINCHLEY CENTRAL,80,Northern,0.94,1.52,Active
FINCHLEY CENTRAL,80,EAST FINCHLEY,65,Northern,1.5,2.42,Active
EAST FINCHLEY,65,HIGHGATE,109,Northern,1.01,1.63,Active
HIGHGATE,109,ARCHWAY,7,Northern,1.06,1.7,Active
ARCHWAY,7,TUFNELL PARK,233,Northern,0.55,0.88,Active
TUFNELL PARK,233,KENTISH TOWN,124,Northern,0.5,0.8,Active
KENTISH TOWN,124,CAMDEN TOWN,35,Northern,0.71,1.15,Active
CAMDEN TOWN,35,MORNINGTON CRESCENT,153,Northern,0.4,0.64,Active
MORNINGTON CRESCENT,153,EUSTON,76,Northern,0.51,0.82,Active
EUSTON,76,WARREN STREET,245,Northern,0.36,0.58,Active
WARREN STREET,245,GOODGE STREET,88,Northern,0.29,0.46,Active
GOODGE STREET,88,TOTTENHAM COURT ROAD,229,Northern,0.39,0.62,Active
TOTTENHAM COURT ROAD,229,LEICESTER SQUARE,136,Northern,0.25,0.4,Active
LEICESTER SQUARE,136,CHARING CROSS,44,Northern,0.29,0.46,Active
CHARING CROSS,44,EMBANKMENT,74,Northern,0.17,0.27,Active
EMBANKMENT,74,WATERLOO,247,Northern,0.44,0.7,Active
WATERLOO,247,KENNINGTON,121,Northern,1.17,1.89,Active
CAMDEN TOWN,35,EUSTON,76,Northern,1.06,1.71,Active
EUSTON,76,KINGS CROSS ST PANCRAS,130,Northern,0.38,0.61,Active
KINGS CROSS ST PANCRAS,130,ANGEL,6,Northern,0.86,1.38,Active
ANGEL,6,OLD STREET,168,Northern,0.89,1.44,Active
OLD STREET,168,MOORGATE,150,Northern,0.43,0.69,Active
MOORGATE,150,BANK,12,Northern,0.51,0.82,Active
BANK,12,LONDON BRIDGE,140,Northern,0.43,0.69,Active
LONDON BRIDGE,140,BOROUGH,25,Northern,0.42,0.67,Active
BOROUGH,25,ELEPHANT & CASTLE,72,Northern,0.53,0.85,Active
ELEPHANT & CASTLE,72,KENNINGTON,121,Northern,0.56,0.9,Active
KENNINGTON,121,OVAL,170,Northern,0.51,0.82,Active
OVAL,170,STOCKWELL,219,Northern,0.85,1.36,Active
STOCKWELL,219,CLAPHAM NORTH,50,Northern,0.51,0.82,Active
CLAPHAM NORTH,50,CLAPHAM COMMON,49,Northern,0.39,0.62,Active
CLAPHAM COMMON,49,CLAPHAM SOUTH,51,Northern,0.78,1.25,Active
CLAPHAM SOUTH,51,BALHAM,11,Northern,0.71,1.15,Active
BALHAM,11,TOOTING BEC,227,Northern,0.61,0.98,Active
TOOTING BEC,227,TOOTING BROADWAY,228,Northern,0.68,1.1,Active
TOOTING BROADWAY,228,COLLIERS WOOD,54,Northern,0.75,1.2,Active
COLLIERS WOOD,54,SOUTH WIMBLEDON,211,Northern,0.71,1.14,Active
SOUTH WIMBLEDON,211,MORDEN,152,Northern,0.91,1.46,Active
UXBRIDGE,240,HILLINGDON,111,Piccadilly/Metropolitan,1.26,2.03,Active
HILLINGDON,111,ICKENHAM,120,Piccadilly/Metropolitan,0.67,1.08,Active
ICKENHAM,120,RUISLIP,194,Piccadilly/Metropolitan,1.15,1.85,Active
RUISLIP,194,RUISLIP MANOR,196,Piccadilly/Metropolitan,0.45,0.72,Active
RUISLIP MANOR,196,EASTCOTE,68,Piccadilly/Metropolitan,0.71,1.14,Active
EASTCOTE,68,RAYNERS LANE,187,Piccadilly/Metropolitan,1.07,1.72,Active
RAYNERS LANE,187,SOUTH HARROW,207,Piccadilly,1.17,1.89,Active
SOUTH HARROW,207,SUDBURY HILL,222,Piccadilly,0.85,1.36,Active
SUDBURY HILL,222,SUDBURY TOWN,223,Piccadilly,1.03,1.65,Active
SUDBURY TOWN,223,ALPERTON,4,Piccadilly,0.98,1.57,Active
ALPERTON,4,PARK ROYAL,174,Piccadilly,1.22,1.97,Active
PARK ROYAL,174,NORTH EALING,157,Piccadilly,0.66,1.06,Active
NORTH EALING,157,EALING COMMON,62,Piccadilly,0.58,0.94,Active
EALING COMMON,62,ACTON TOWN,1,Piccadilly/District,0.64,1.03,Active
HEATHROW TERMINALS 2 & 3,103,HATTON CROSS,102,Piccadilly,1.34,2.15,Active
HEATHROW TERMINALS 2 & 3,103,HEATHROW TERMINAL 5,105,Piccadilly,1.54,2.48,Active
HATTON CROSS,102,HOUNSLOW WEST,118,Piccadilly,1.81,2.91,Active
HOUNSLOW WEST,118,HOUNSLOW CENTRAL,116,Piccadilly,0.91,1.46,Active
HOUNSLOW CENTRAL,116,HOUNSLOW EAST,117,Piccadilly,0.46,0.74,Active
HOUNSLOW EAST,117,OSTERLEY,169,Piccadilly,0.6,0.96,Active
OSTERLEY,169,BOSTON MANOR,26,Piccadilly,1.5,2.42,Active
BOSTON MANOR,26,NORTHFIELDS,161,Piccadilly,0.62,0.99,Active
NORTHFIELDS,161,SOUTH EALING,206,Piccadilly,0.24,0.38,Active
SOUTH EALING,206,ACTON TOWN,1,Piccadilly,1.37,2.2,Active
ACTON TOWN,1,HAMMERSMITH DP,95,Piccadilly,2.75,4.42,Active
HAMMERSMITH DP,95,BARONS COURT,16,Piccadilly/District,0.42,0.68,Active
BARONS COURT,16,EARLS COURT,63,Piccadilly,1.01,1.62,Active
EARLS COURT,63,GLOUCESTER ROAD,85,Piccadilly,0.48,0.78,Active
GLOUCESTER ROAD,85,SOUTH KENSINGTON,208,Piccadilly,0.44,0.7,Active
SOUTH KENSINGTON,208,KNIGHTSBRIDGE,131,Piccadilly,0.76,1.22,Active
KNIGHTSBRIDGE,131,HYDE PARK CORNER,119,Piccadilly,0.32,0.51,Active
HYDE PARK CORNER,119,GREEN PARK,92,Piccadilly,0.66,1.06,Active
GREEN PARK,92,PICCADILLY CIRCUS,177,Piccadilly,0.35,0.56,Active
PICCADILLY CIRCUS,177,LEICESTER SQUARE,136,Piccadilly,0.3,0.49,Active
LEICESTER SQUARE,136,COVENT GARDEN,55,Piccadilly,0.16,0.25,Active
COVENT GARDEN,55,HOLBORN,112,Piccadilly,0.37,0.59,Active
HOLBORN,112,RUSSELL SQUARE,197,Piccadilly,0.45,0.72,Active
RUSSELL SQUARE,197,KINGS CROSS ST PANCRAS,130,Piccadilly,0.57,0.91,Active
KINGS CROSS ST PANCRAS,130,CALEDONIAN ROAD,34,Piccadilly,1.22,1.96,Active
CALEDONIAN ROAD,34,HOLLOWAY ROAD,114,Piccadilly,0.37,0.59,Active
HOLLOWAY ROAD,114,ARSENAL,9,Piccadilly,0.46,0.74,Active
ARSENAL,9,FINSBURY PARK,82,Piccadilly,0.43,0.69,Active
FINSBURY PARK,82,MANOR HOUSE,143,Piccadilly,0.65,1.04,Active
MANOR HOUSE,143,TURNPIKE LANE,235,Piccadilly,1.44,2.31,Active
TURNPIKE LANE,235,WOOD GREEN,267,Piccadilly,0.61,0.98,Active
WOOD GREEN,267,BOUNDS GREEN,27,Piccadilly,0.94,1.52,Active
BOUNDS GREEN,27,ARNOS GROVE,8,Piccadilly,0.78,1.25,Active
ARNOS GROVE,8,SOUTHGATE,214,Piccadilly,1.21,1.94,Active
SOUTHGATE,214,OAKWOOD,167,Piccadilly,1.16,1.86,Active
OAKWOOD,167,COCKFOSTERS,52,Piccadilly,0.79,1.27,Active
HATTON CROSS,102,HEATHROW TERMINAL 4,104,Piccadilly,1.14,1.83,Active
HEATHROW TERMINAL 4,104,HEATHROW TERMINALS 2 & 3,103,Piccadilly,2.68,4.31,Active
ALDGATE,2,LIVERPOOL STREET,139,Metropolitan/Circle,0.38,0.61,Active
LIVERPOOL STREET,139,MOORGATE,150,Metropolitan/H & C/Circle,0.32,0.51,Active
MOORGATE,150,BARBICAN,13,Metropolitan/H & C/Circle,0.4,0.64,Active
BARBICAN,13,FARRINGDON,79,Metropolitan/H & C/Circle,0.32,0.51,Active
FARRINGDON,79,KINGS CROSS ST PANCRAS,130,Metropolitan/H & C/Circle,1.15,1.85,Active
KINGS CROSS ST PANCRAS,130,EUSTON SQUARE,77,Metropolitan/H & C/Circle,0.53,0.85,Active
EUSTON SQUARE,77,GREAT PORTLAND STREET,90,Metropolitan/H & C/Circle,0.38,0.61,Active
GREAT PORTLAND STREET,90,BAKER STREET,10,Metropolitan/H & C/Circle,0.57,0.92,Active
BAKER STREET,10,FINCHLEY ROAD,81,Metropolitan,2.1,3.38,Active
FINCHLEY ROAD,81,WEMBLEY PARK,250,Metropolitan,4.5,7.24,Active
WEMBLEY PARK,250,PRESTON ROAD,181,Metropolitan,0.91,1.46,Active
PRESTON ROAD,181,NORTHWICK PARK,163,Metropolitan,1.02,1.64,Active
NORTHWICK PARK,163,HARROW-ON-THE-HILL,101,Metropolitan,0.8,1.29,Active
FINCHLEY ROAD,81,HARROW-ON-THE-HILL,101,Metropolitan Express,7.23,11.63,Active
HARROW-ON-THE-HILL,101,WEST HARROW,256,Metropolitan,0.78,1.26,Active
WEST HARROW,256,RAYNERS LANE,187,Metropolitan,0.86,1.38,Active
HARROW-ON-THE-HILL,101,NORTH HARROW,159,Metropolitan,1.24,2,Active
NORTH HARROW,159,PINNER,179,Metropolitan,0.92,1.48,Active
PINNER,179,NORTHWOOD HILLS,165,Metropolitan,1.29,2.08,Active
NORTHWOOD HILLS,165,NORTHWOOD,164,Metropolitan,1,1.61,Active
NORTHWOOD,164,MOOR PARK,151,Metropolitan,1.38,2.22,Active
HARROW-ON-THE-HILL,101,MOOR PARK,151,Metropolitan Express,5.84,9.39,Active
MOOR PARK,151,CROXLEY,56,Metropolitan,1.83,2.94,Active
CROXLEY,56,WATFORD,248,Metropolitan,1.18,1.9,Active
MOOR PARK,151,RICKMANSWORTH,191,Metropolitan,2.17,3.49,Active
RICKMANSWORTH,191,CHORLEYWOOD,48,Metropolitan,2.1,3.38,Active
CHORLEYWOOD,48,CHALFONT & LATIMER,41,Metropolitan,2.13,3.43,Active
CHALFONT & LATIMER,41,CHESHAM,45,Metropolitan,3.85,6.19,Active
CHALFONT & LATIMER,41,AMERSHAM,5,Metropolitan,2.03,3.27,Active
HAMMERSMITH CH,96,GOLDHAWK ROAD,87,H & C/Circle,0.51,0.82,Active
GOLDHAWK ROAD,87,SHEPHERDS BUSH MARKET,203,H & C/Circle,0.32,0.51,Active
SHEPHERDS BUSH MARKET,203,WOOD LANE,268,H & C/Circle,0.29,0.47,Active
WOOD LANE,268,LATIMER ROAD,135,H & C/Circle,0.34,0.54,Active
LATIMER ROAD,135,LADBROKE GROVE,132,H & C/Circle,0.41,0.66,Active
LADBROKE GROVE,132,WESTBOURNE PARK,259,H & C/Circle,0.49,0.79,Active
WESTBOURNE PARK,259,ROYAL OAK,193,H & C/Circle,0.61,0.98,Active
ROYAL OAK,193,PADDINGTON CH,173,H & C/Circle,0.4,0.64,Active
PADDINGTON CH,173,EDGWARE ROAD CDH,71,H & C/Circle,0.58,0.93,Active
EDGWARE ROAD CDH,71,BAKER STREET,10,H & C/Circle,0.45,0.72,Active
LIVERPOOL STREET,139,ALDGATE EAST,3,H & C,0.57,0.92,Active
ALDGATE EAST,3,WHITECHAPEL,262,H & C/District,0.51,0.82,Active
WHITECHAPEL,262,STEPNEY GREEN,218,H & C/District,0.62,1,Active
STEPNEY GREEN,218,MILE END,147,H & C/District,0.65,1.05,Active
MILE END,147,BOW ROAD,28,H & C/District,0.34,0.55,Active
BOW ROAD,28,BROMLEY-BY-BOW,31,H & C/District,0.63,1.01,Active
BROMLEY-BY-BOW,31,WEST HAM,254,H & C/District,0.85,1.37,Active
WEST HAM,254,PLAISTOW,180,H & C/District,0.47,0.76,Active
PLAISTOW,180,UPTON PARK,239,H & C/District,0.8,1.29,Active
UPTON PARK,239,EAST HAM,66,H & C/District,0.87,1.4,Active
EAST HAM,66,BARKING,14,H & C/District,1.42,2.29,Active
EDGWARE ROAD CDH,71,PADDINGTON BCD,172,Circle/District,0.51,0.82,Active
PADDINGTON BCD,172,BAYSWATER,17,Circle/District,0.61,0.98,Active
BAYSWATER,17,NOTTING HILL GATE,166,Circle/District,0.49,0.79,Active
NOTTING HILL GATE,166,HIGH STREET KENSINGTON,110,Circle/District,0.58,0.93,Active
HIGH STREET KENSINGTON,110,GLOUCESTER ROAD,85,Circle,0.58,0.93,Active
GLOUCESTER ROAD,85,SOUTH KENSINGTON,208,Circle/District,0.46,0.74,Active
SOUTH KENSINGTON,208,SLOANE SQUARE,204,Circle/District,0.76,1.22,Active
SLOANE SQUARE,204,VICTORIA,242,Circle/District,0.65,1.05,Active
VICTORIA,242,ST JAMESS PARK,198,Circle/District,0.45,0.72,Active
ST JAMESS PARK,198,WESTMINSTER,260,Circle/District,0.47,0.76,Active
WESTMINSTER,260,EMBANKMENT,74,Circle/District,0.43,0.69,Active
EMBANKMENT,74,TEMPLE,225,Circle/District,0.44,0.71,Active
TEMPLE,225,BLACKFRIARS,22,Circle/District,0.47,0.76,Active
BLACKFRIARS,22,MANSION HOUSE,144,Circle/District,0.38,0.61,Active
MANSION HOUSE,144,CANNON STREET,39,Circle/District,0.19,0.31,Active
CANNON STREET,39,MONUMENT,149,Circle/District,0.21,0.34,Active
MONUMENT,149,TOWER HILL,232,Circle/District,0.42,0.68,Active
TOWER HILL,232,ALDGATE,2,Circle,0.31,0.5,Active
UPMINSTER,236,UPMINSTER BRIDGE,237,District,0.77,1.24,Active
UPMINSTER BRIDGE,237,HORNCHURCH,115,District,0.78,1.26,Active
HORNCHURCH,115,ELM PARK,73,District,0.93,1.5,Active
ELM PARK,73,DAGENHAM EAST,57,District,1.47,2.37,Active
DAGENHAM EAST,57,DAGENHAM HEATHWAY,58,District,0.84,1.35,Active
DAGENHAM HEATHWAY,58,BECONTREE,18,District,0.85,1.37,Active
BECONTREE,18,UPNEY,238,District,1.16,1.87,Active
UPNEY,238,BARKING,14,District,0.86,1.38,Active
ALDGATE EAST,3,TOWER HILL,232,District,0.5,0.8,Active
GLOUCESTER ROAD,85,EARLS COURT,63,District,0.58,0.93,Active
HIGH STREET KENSINGTON,110,EARLS COURT,63,District,0.78,1.26,Active
EARLS COURT,63,KENSINGTON (OLYMPIA),123,District,0.96,1.54,Active
EARLS COURT,63,WEST BROMPTON,252,District,0.37,0.6,Active
WEST BROMPTON,252,FULHAM BROADWAY,83,District,0.52,0.84,Active
FULHAM BROADWAY,83,PARSONS GREEN,175,District,0.49,0.79,Active
PARSONS GREEN,175,PUTNEY BRIDGE,182,District,0.59,0.95,Active
PUTNEY BRIDGE,182,EAST PUTNEY,67,District,0.69,1.11,Active
EAST PUTNEY,67,SOUTHFIELDS,213,District,0.95,1.53,Active
SOUTHFIELDS,213,WIMBLEDON PARK,266,District,0.9,1.45,Active
WIMBLEDON PARK,266,WIMBLEDON,265,District,0.93,1.5,Active
EARLS COURT,63,WEST KENSINGTON,257,District,0.56,0.9,Active
WEST KENSINGTON,257,BARONS COURT,16,District,0.4,0.64,Active
HAMMERSMITH DP,95,RAVENSCOURT PARK,186,District,0.58,0.93,Active
RAVENSCOURT PARK,186,STAMFORD BROOK,216,District,0.48,0.77,Active
STAMFORD BROOK,216,TURNHAM GREEN,234,District,0.34,0.55,Active
TURNHAM GREEN,234,CHISWICK PARK,47,District,0.59,0.95,Active
CHISWICK PARK,47,ACTON TOWN,1,District,0.76,1.22,Active
EALING COMMON,62,EALING BROADWAY,61,District,0.93,1.5,Active
TURNHAM GREEN,234,GUNNERSBURY,93,District,0.99,1.59,Active
GUNNERSBURY,93,KEW GARDENS,126,District,1.06,1.71,Active
KEW GARDENS,126,RICHMOND,190,District,1.33,2.14,Active
KENNINGTON,121,NINE ELMS,271,Northern,1.3,2.1,Active
NINE ELMS,271,BATTERSEA POWER STATION,272,Northern,0.65,1.04,Active
BANK,12,MONUMENT,149,Transfer,0.01,0.01,Active
